TripID,TimeStep,TimeStamp,Speed,Acceleration,Heading,HeadingChange,Latitude,Longitude,Annotation,SegmentType
T-1,659,Wed Jul 24 15:58:22 EDT 2013,29,0.0,84.0,0,39.980572,-82.953895,NULL,NULL
T-1,660,Wed Jul 24 15:58:23 EDT 2013,29,-0.28,84.0,0,39.980575,-82.953735,NULL,NULL
T-1,661,Wed Jul 24 15:58:24 EDT 2013,24,-1.94,84.0,0,39.980582,-82.953587,NULL,NULL
T-1,662,Wed Jul 24 15:58:25 EDT 2013,21,-1.39,84.0,0,39.980602,-82.953477,NULL,NULL
T-1,663,Wed Jul 24 15:58:26 EDT 2013,20,-0.56,90.0,6,39.980603,-82.953347,NULL,NULL
T-1,664,Wed Jul 24 15:58:27 EDT 2013,19,-0.28,90.0,0,39.9806,-82.95325,NULL,NULL
T-1,665,Wed Jul 24 15:58:28 EDT 2013,19,-0.28,90.0,0,39.9806,-82.95313,Segment,Slow-Down
T-1,666,Wed Jul 24 15:58:29 EDT 2013,21,0.83,90.0,0,39.9806,-82.953015,NULL,NULL
T-1,667,Wed Jul 24 15:58:30 EDT 2013,22,0.56,90.0,0,39.9806,-82.952902,NULL,NULL
T-1,668,Wed Jul 24 15:58:31 EDT 2013,24,0.83,84.0,6,39.980602,-82.952782,NULL,NULL
T-1,669,Wed Jul 24 15:58:32 EDT 2013,24,0.28,84.0,0,39.980605,-82.952655,NULL,NULL
T-1,670,Wed Jul 24 15:58:33 EDT 2013,26,0.83,84.0,0,39.980615,-82.952543,NULL,NULL
T-1,671,Wed Jul 24 15:58:34 EDT 2013,26,0.0,84.0,0,39.980618,-82.952423,NULL,NULL
T-1,672,Wed Jul 24 15:58:35 EDT 2013,28,0.83,90.0,6,39.980608,-82.952305,NULL,NULL
T-1,673,Wed Jul 24 15:58:36 EDT 2013,29,0.56,84.0,6,39.98062,-82.95218,NULL,NULL
T-1,674,Wed Jul 24 15:58:37 EDT 2013,30,0.56,84.0,0,39.98063,-82.952032,NULL,NULL
T-1,675,Wed Jul 24 15:58:38 EDT 2013,31,0.28,84.0,0,39.980647,-82.95188,NULL,NULL
T-1,676,Wed Jul 24 15:58:39 EDT 2013,32,0.28,84.0,0,39.980658,-82.951718,NULL,NULL
T-1,677,Wed Jul 24 15:58:40 EDT 2013,32,0.0,84.0,0,39.980672,-82.951572,NULL,NULL
T-1,678,Wed Jul 24 15:58:41 EDT 2013,32,0.28,84.0,0,39.98068,-82.951427,NULL,NULL
T-1,679,Wed Jul 24 15:58:42 EDT 2013,32,-0.28,84.0,0,39.980695,-82.951272,NULL,NULL
T-1,680,Wed Jul 24 15:58:43 EDT 2013,31,-0.28,84.0,0,39.980708,-82.951107,NULL,NULL
T-1,681,Wed Jul 24 15:58:44 EDT 2013,31,0.0,84.0,0,39.980723,-82.950945,NULL,NULL
T-1,682,Wed Jul 24 15:58:45 EDT 2013,32,0.56,84.0,0,39.980735,-82.950775,NULL,NULL
T-1,683,Wed Jul 24 15:58:46 EDT 2013,34,0.83,84.0,0,39.980748,-82.950607,NULL,NULL
T-1,684,Wed Jul 24 15:58:47 EDT 2013,36,0.83,84.0,0,39.98076,-82.950433,NULL,NULL
T-1,685,Wed Jul 24 15:58:48 EDT 2013,37,0.28,84.0,0,39.98077,-82.950248,NULL,NULL
T-1,686,Wed Jul 24 15:58:49 EDT 2013,39,0.83,84.0,0,39.980778,-82.950055,NULL,NULL
T-1,687,Wed Jul 24 15:58:50 EDT 2013,40,0.56,84.0,0,39.980788,-82.949853,NULL,NULL
T-1,688,Wed Jul 24 15:58:51 EDT 2013,42,0.83,84.0,0,39.980795,-82.949652,NULL,NULL
T-1,689,Wed Jul 24 15:58:52 EDT 2013,42,0.28,84.0,0,39.980795,-82.949423,NULL,NULL
T-1,690,Wed Jul 24 15:58:53 EDT 2013,42,0.0,84.0,0,39.980793,-82.949188,NULL,NULL
T-1,691,Wed Jul 24 15:58:54 EDT 2013,42,0.0,84.0,0,39.980797,-82.948962,NULL,NULL
T-1,692,Wed Jul 24 15:58:55 EDT 2013,43,0.28,84.0,0,39.980798,-82.948735,NULL,NULL
T-1,693,Wed Jul 24 15:58:56 EDT 2013,43,0.28,84.0,0,39.980803,-82.94851,NULL,NULL
T-1,694,Wed Jul 24 15:58:57 EDT 2013,44,0.28,84.0,0,39.980803,-82.948278,NULL,NULL
T-1,695,Wed Jul 24 15:58:58 EDT 2013,45,0.28,84.0,0,39.980808,-82.948045,NULL,NULL
T-1,696,Wed Jul 24 15:58:59 EDT 2013,46,0.56,84.0,0,39.980818,-82.947813,NULL,NULL
T-1,697,Wed Jul 24 15:59:00 EDT 2013,45,-0.28,84.0,0,39.980828,-82.947558,NULL,NULL
T-1,698,Wed Jul 24 15:59:01 EDT 2013,45,0.0,84.0,0,39.980837,-82.947307,NULL,NULL
T-1,699,Wed Jul 24 15:59:02 EDT 2013,46,0.28,84.0,0,39.980845,-82.947055,NULL,NULL
T-1,700,Wed Jul 24 15:59:03 EDT 2013,47,0.28,84.0,0,39.980855,-82.946808,Segment,Speed-Up
T-1,701,Wed Jul 24 15:59:04 EDT 2013,46,-0.28,84.0,0,39.98087,-82.946563,NULL,NULL
T-1,702,Wed Jul 24 15:59:05 EDT 2013,45,-0.28,84.0,0,39.980883,-82.94632,NULL,NULL
T-1,703,Wed Jul 24 15:59:06 EDT 2013,43,-0.83,84.0,0,39.980895,-82.946078,NULL,NULL
T-1,704,Wed Jul 24 15:59:07 EDT 2013,42,-0.56,84.0,0,39.980903,-82.945837,NULL,NULL
T-1,705,Wed Jul 24 15:59:08 EDT 2013,41,-0.56,84.0,0,39.980917,-82.945607,NULL,NULL
